DistrictCode	DistrictName	SchoolCode	SchoolName	RMRFlag
04222	CASHMERE SCHOOL DISTRICT	3268	CASHMERE HIGH SCHOOL	0
31015	Edmonds School District	1519	Edmonds Independent Learning	0
39200	Grandview School District	3013	Smith Elementary School	0
03017	Kennewick School District	2825	Westgate Elementary School	0
28137	Orcas Island School District	2749	Orcas Island Elementary School	0
39204	Granger School District	1661	Granger Alternative High School	0
31002	Everett School District	4530	Penny Creek Elementary	0
17210	Federal Way Public Schools	3628	Twin Lakes Elementary School	1
32123	Orchard Prairie School District	3723	Orchard Prairie Elementary	0
21237	Toledo School District	2616	Toledo High School	0
06117	Camas School District	5158	Grass Valley Elementary	0
08122	Longview School District	2369	Columbia Valley Garden Elem Schl	0
34111	Olympia School District	2778	Roosevelt Elementary School	0
31311	Sultan School District	5114	Sky Valley Options	0
17401	Highline Public Schools	3031	Olympic Intermediate	1
32363	West Valley School District (Spokane)	1965	WV Help	0
17001	Seattle Public Schools	3905	Amer Indian Heritage Secondary	0
27403	Bethel School District	4158	Spanaway Lake High School	0
06114	Evergreen School District (Clark)	4042	Legacy High School	0
39204	Granger School District	3314	Granger High School	0
39201	Sunnyside School District	2717	Washington Elementary	0
24105	Okanogan School District	5080	Tyee Online Alternative School	0
17001	Seattle Public Schools	1631	North Seattle Learning Center	0
27400	Clover Park School District	3456	Lakes High School	0
27003	Puyallup School District	2519	Woodland Elementary	0
27416	White River School District	3458	Glacier Middle School	0
17401	Highline Public Schools	2765	Beverly Park Elem at Glendale	1
17401	Highline Public Schools	5064	Global Connections High School	1
32362	Liberty School District	3416	Liberty High School	0
31201	Snohomish School District	3005	Emerson Elementary	0
27010	Tacoma School District	3880	Foss	0
06119	Battle Ground School District	2415	Battle Ground High School	0
27403	Bethel School District	4538	North Star Elementary	0
14068	Elma School District	5416	East Grays Harbor Open Doors	0
17411	Issaquah School District	4493	Endeavour Elementary School	0
03116	Prosser School District	1728	Prosser Falls Education Center	0
